1 Sector;  2 Sector;  3 Sector;  age;  year_of_census;  delta_real;  delta_pred
0,29759738;  0,3543693;  0,3480333;  29;  1895;  0,23308270676691728;  0,2637765
0,291744;  0,34153423;  0,36672178;  28;  1895;  0,33959899749373434;  0,23772077
0,28543216;  0,32643092;  0,38813692;  27;  1895;  0,46365914786967416;  0,20047764
0,28019923;  0,311516;  0,40828478;  26;  1895;  0,5839598997493735;  0,17553084
0,278;  0,299;  0,423;  25;  1895;  0,6754385964912282;  0,15889338
0,27926317;  0,28938425;  0,43135256;  24;  1895;  0,7318295739348372;  0,15085995
0,28541937;  0,28262395;  0,4319567;  23;  1895;  0,7443609022556391;  0,153092
0,29694733;  0,27861813;  0,42443457;  22;  1895;  0,7155388471177945;  0,18711129
0,31346437;  0,27777213;  0,40876347;  21;  1895;  0,6879699248120301;  0,2323239
0,33196068;  0,27983803;  0,38820127;  20;  1895;  0,7130325814536341;  0,28275666
0,34;  0,291;  0,37;  19;  1895;  0,6553884711779449;  0,31430122
0,39885184;  0,31113178;  0,2900164;  52;  1907;  0,2142857142857143;  0,36096832
0,39249647;  0,3150008;  0,2925027;  51;  1907;  0,13659147869674187;  0,36910236
0,38601342;  0,3189158;  0,29507083;  50;  1907;  0,09273182957393485;  0,3761129
0,37943536;  0,32288116;  0,29768345;  49;  1907;  0,08145363408521303;  0,3722843
0,37282503;  0,32689324;  0,30028173;  48;  1907;  0,042606516290726815;  0,3624174
0,36626777;  0,33094123;  0,30279103;  47;  1907;  0,03258145363408521;  0,35219532
0,35986015;  0,3350101;  0,30512977;  46;  1907;  0,03007518796992481;  0,34639063
0,353;  0,34;  0,307;  45;  1907;  0,03258145363408521;  0,3421916
0,34785128;  0,34314814;  0,30900055;  44;  1907;  0,03132832080200502;  0,33652988
0,3423804;  0,34719405;  0,31042555;  43;  1907;  0,03759398496240602;  0,32859692
0,3373092;  0,35121724;  0,31147355;  42;  1907;  0,053884711779448626;  0,32269916
0,3326396;  0,35521817;  0,31214225;  41;  1907;  0,07142857142857144;  0,31830654
0,3283549;  0,3591997;  0,31244546;  40;  1907;  0,08897243107769424;  0,31383884
0,32442543;  0,3631649;  0,31240967;  39;  1907;  0,10526315789473684;  0,311547
0,32081488;  0,36711386;  0,31207126;  38;  1907;  0,12155388471177946;  0,31112212
0,31748402;  0,37103993;  0,31147605;  37;  1907;  0,14411027568922305;  0,31067163
0,3143933;  0,3749254;  0,3106813;  36;  1907;  0,15413533834586468;  0,3053432
0,312;  0,378;  0,31;  35;  1907;  0,1754385964912281;  0,29888704
0,3087737;  0,38240898;  0,3088174;  34;  1907;  0,19674185463659147;  0,29263332
0,3061593;  0,3858471;  0,30799362;  33;  1907;  0,2155388471177945;  0,2869893
0,30360386;  0,38889307;  0,30750304;  32;  1907;  0,23308270676691728;  0,2814072
0,30102745;  0,39130473;  0,30766776;  31;  1907;  0,24686716791979949;  0,27958247
0,29830346;  0,39271075;  0,3089858;  30;  1907;  0,25563909774436094;  0,2837147
0,29521465;  0,39254132;  0,3122441;  29;  1907;  0,2543859649122807;  0,28926724
0,29138708;  0,38990435;  0,31870857;  28;  1907;  0,23934837092731828;  0,2868883
0,286;  0,384;  0,33;  27;  1907;  0,19548872180451127;  0,27881235
0,2790006;  0,37076178;  0,3502376;  26;  1907;  0,13032581453634084;  0,26636973
0,26852143;  0,3499218;  0,38155684;  25;  1907;  0,013784461152882206;  0,2348497
0,2535751;  0,3216222;  0,42480272;  24;  1907;  0,14786967418546365;  0,19446528
0,23709935;  0,29209062;  0,47081006;  23;  1907;  0,3270676691729324;  0,15954494
0,23;  0,269;  0,501;  22;  1907;  0,44736842105263164;  0,09607439
0,24010941;  0,26182035;  0,49807033;  21;  1907;  0,4285714285714286;  0,09577124
0,2663402;  0,27102324;  0,4626366;  20;  1907;  0,34461152882205515;  0,18551843
0,29455155;  0,28838846;  0,41706;  19;  1907;  0,2894736842105263;  0,24446005
0,322;  0,336;  0,342;  55;  1925;  0,6516290726817042;  0,3257471
0,31373566;  0,33809212;  0,34817222;  54;  1925;  0,4047619047619048;  0,331349
0,30879405;  0,33869287;  0,35251302;  53;  1925;  0,34711779448621555;  0,33097726
0,30395725;  0,3394916;  0,35655117;  52;  1925;  0,2694235588972431;  0,327611
0,29920897;  0,34045878;  0,3603323;  51;  1925;  0,2218045112781955;  0,32289508
0,29454118;  0,34155613;  0,36390263;  50;  1925;  0,2017543859649123;  0,31419814
0,2899582;  0,3427405;  0,36730126;  49;  1925;  0,20426065162907267;  0,31102708
0,2854772;  0,3439672;  0,37055564;  48;  1925;  0,2130325814536341;  0,30809286
0,28112572;  0,34519362;  0,37368065;  47;  1925;  0,2606516290726817;  0,30282778
0,2769388;  0,34638166;  0,3766796;  46;  1925;  0,23934837092731828;  0,29878077
0,274;  0,348;  0,378;  45;  1925;  0,25814536340852134;  0,294921
0,2692069;  0,34852293;  0,3822702;  44;  1925;  0,27318295739348375;  0,29050818
0,26573068;  0,34943348;  0,3848359;  43;  1925;  0,2907268170426065;  0,29011333
0,26255152;  0,35021898;  0,38722956;  42;  1925;  0,30827067669172936;  0,2905171
0,25968987;  0,35087124;  0,38943887;  41;  1925;  0,32456140350877194;  0,29100183
0,25716057;  0,35138482;  0,39145464;  40;  1925;  0,3408521303258145;  0,2915736
0,2549741;  0,35175496;  0,3932709;  39;  1925;  0,35463659147869675;  0,29210457
0,25313833;  0,35197672;  0,3948849;  38;  1925;  0,36716791979949875;  0,29122043
0,25166032;  0,35204342;  0,39629626;  37;  1925;  0,3408521303258145;  0,28445566
0,25054824;  0,35194552;  0,39750618;  36;  1925;  0,3859649122807018;  0,2773255
0,253;  0,35;  0,398;  35;  1925;  0,3634085213032582;  0,2783436
0,24947254;  0,35119748;  0,39932996;  34;  1925;  0,39097744360902253;  0,27513826
0,24954857;  0,35050514;  0,3999463;  33;  1925;  0,3859649122807018;  0,269735
0,25007355;  0,3495625;  0,40036395;  32;  1925;  0,37593984962406013;  0,2639281
0,25108916;  0,3483339;  0,400577;  31;  1925;  0,35714285714285715;  0,25766575
0,25264704;  0,3467799;  0,40057302;  30;  1925;  0,33082706766917297;  0,24655119
0,2548074;  0,34486243;  0,40033013;  29;  1925;  0,29448621553884713;  0,22877006
0,25763345;  0,3425539;  0,39981267;  28;  1925;  0,24686716791979949;  0,21689336
0,261;  0,341;  0,398;  27;  1925;  0,2243107769423559;  0,20707472
