birth;year;age;1. Sektor;2. Sektor;3. Sektor;other;AGE;1. Sec;2. Sec;3. Sec;census_year
1868;1882;under 15;292123 ;142385 ;89650 ;0;14;55.7;27.2;17.1;1882
1865;1882;15 to 19;1506900 ;1109178 ;743565 ;0;17;44.9;33.0;22.1;1882
1857;1882;20 to 29;1832509 ;1756024 ;1524714 ;0;25;35.8;34.3;29.8;1882
1847;1882;30 to 39;1332373 ;1385875 ;735845 ;0;35;38.6;40.1;21.3;1882
1837;1882;40 to 49;1297735 ;978199 ;570898 ;0;45;45.6;34.4;20.1;1882
1827;1882;50 to 59;1079874 ;600545 ;396159 ;0;55;52.0;28.9;19.1;1882
1817;1882;60 to 69;695858 ;318091 ;223048 ;0;65;56.3;25.7;18.0;1882
1812;1882;70 and above;199124 ;82275 ;63985 ;0;70;57.7;23.8;18.5;1882
1884;1895;under 12;30604 ;1590 ;8305 ;0;11;75.6;3.9;20.5;1895
1883;1895;12 to 13;104521 ;36561 ;33373 ;0;12;59.9;21.0;19.1;1895
1881;1895;14 to 15;552237 ;464490 ;268284 ;0;14;43.0;36.1;20.9;1895
1878;1895;16 to 18;593580 ;632348 ;371149 ;0;17;37.2;39.6;23.2;1895
1876;1895;19 to 20;567094 ;666754 ;424161 ;0;19;34.2;40.2;25.6;1895
1870;1895;20 to 29;1761104 ;2311955 ;1959489 ;0;25;29.2;38.3;32.5;1895
1860;1895;30 to 39;1347206 ;1744980 ;968394 ;0;35;33.2;43.0;23.8;1895
1850;1895;40 to 49;1232989 ;1203464 ;704110 ;0;45;39.3;38.3;22.4;1895
1840;1895;50 to 59;1149404 ;757438 ;502663 ;0;55;47.7;31.4;20.9;1895
1830;1895;60 to 69;702268 ;335406 ;248535 ;0;65;54.6;26.1;19.3;1895
1825;1895;70 and above;251685 ;97886 ;76164 ;0;70;59.1;23.0;17.9;1895
1894;1907;under 14;218261;60744;47054;0;13;66.9;18.6;14.4;1907
1893;1907;14 to 15;666673;624271;338819;0;14;40.9;38.3;20.8;1907
1891;1907;16 to 17;664737;807174;458786;0;16;34.4;41.8;23.8;1907
1889;1907;18 to 19;604284;825974;518947;0;18;31.0;42.4;26.6;1907
1885;1907;20 to 24;1078447;1591439;1506913;0;22;25.8;38.1;36.1;1907
1880;1907;25 to 29;930960;1563302;907447;0;27;27.4;46.0;26.7;1907
1872;1907;30 to 39;1715791;2461464;1412982;0;35;30.7;44.0;25.3;1907
1862;1907;40 to 49;1609266;1629519;1031150;0;45;37.7;38.2;24.1;1907
1852;1907;50 to 59;1323071;912835;647231;0;55;45.9;31.7;22.4;1907
1842;1907;60 to 69;813163;383161;310467;0;65;54.0;25.4;20.6;1907
1837;1907;70 and above;257854;88083;79021;0;70;60.7;20.7;18.6;1907
1912;1925;under 14;161558;36874;18476;0;13;74.5;17.0;8.5;1925
1911;1925;14 to 15;612432;703880;295711;0;14;38.0;43.7;18.3;1925
1909;1925;16 to 17;649612;996091;495728;0;16;30.3;46.5;23.1;1925
1907;1925;18 to 19;606861;1012021;578361;0;18;27.6;46.1;26.3;1925
1903;1925;20 to 24;1325749;2243782;1432587;0;22;26.5;44.9;28.6;1925
1898;1925;25 to 29;953507;1649940;1162143;0;27;25.3;43.8;30.9;1925
1890;1925;30 to 39;1524192;2399489;1894331;0;35;26.2;41.2;32.6;1925
1880;1925;40 to 49;1496668;2056425;1584925;0;45;29.1;40.0;30.8;1925
1870;1925;50 to 59;1358709;1419799;1051256;0;55;35.5;37.1;27.4;1925
1863;1925;60 to 64;498682;403691;279214;0;62;42.2;34.2;23.6;1925
1858;1925;65 to 69;322192;208035;132884;0;67;48.6;31.4;20.0;1925
1855;1925;70 and above;252264;109196;82035;0;70;56.9;24.6;18.5;1925
1920;1933;under 14; 81.728 ; 23.014 ; 16.591 ;0;13;67.4;19.0;13.7;1933
1919;1933;14 to 15; 265.612 ; 278.701 ; 158.795 ;0;14;37.8;39.6;22.6;1933
1917;1933;16 to 17; 342.639 ; 460.927 ; 306.788 ;0;16;30.9;41.5;27.6;1933
1915;1933;18 to 19; 556.705 ; 828.046 ; 620.362 ;0;18;27.8;41.3;30.9;1933
1911;1933;20 to 24; 1.298.903 ; 2.173.145 ; 1.599.193 ;0;22;25.6;42.9;31.5;1933
1906;1933;25 to 29; 1.081.715 ; 2.093.063 ; 1.378.118 ;0;27;23.8;46.0;30.3;1933
1898;1933;30 to 39; 1.814.614 ; 2.966.087 ; 2.328.535 ;0;35;25.5;41.7;32.8;1933
1888;1933;40 to 49; 1.482.102 ; 1.965.487 ; 1.826.821 ;0;45;28.1;37.3;34.6;1933
1878;1933;50 to 59; 1.373.194 ; 1.482.587 ; 1.312.259 ;0;55;32.9;35.6;31.5;1933
1871;1933;60 to 64; 493.140 ; 398.052 ; 331.272 ;0;62;40.3;32.6;27.1;1933
1868;1933;65 and above; 552.433 ; 200.423 ; 205.023 ;0;65;57.7;20.9;21.4;1933
1926;1939;under 14;94.096;46.723;38.375;0;13;52.5;26.1;21.4;1939
1925;1939;14 to 15;648.016;667.405;458.958;0;14;36.5;37.6;25.9;1939
1923;1939;16 to 17;636.944;1.025.154;666.558;0;16;27.4;44.0;28.6;1939
1921;1939;18 to 19;567.315;998.882;730.709;0;18;24.7;43.5;31.8;1939
1917;1939;20 to 24;649.326;993.734;1.066.029;0;22;24.0;36.7;39.4;1939
1912;1939;25 to 29;1.095.578;2.381.753;1.717.161;0;27;21.1;45.9;33.1;1939
1904;1939;30 to 39;2.288.212;4.680.931;2.976.015;0;35;23.0;47.1;29.9;1939
1897;1939;40 to 44;993.322;1.593.572;1.287.391;0;42;25.6;41.1;33.2;1939
1892;1939;45 to 49;882.725;1.235.913;1.114.692;0;47;27.3;38.2;34.5;1939
1884;1939;50 to 59;1.582.660;1.911.767;1.676.899;0;55;30.6;37.0;32.4;1939
1877;1939;60 to 64;650.211;603.634;478.384;0;62;37.5;34.8;27.6;1939
1874;1939;65 and above;759.111;324.015;270.125;0;65;56.1;23.9;20.0;1939
