year_of_census,1. Sector,2. Sector,3. Sector,delta,age
1925,0.335,0.382,0.283,0.0125,53
1925,0.326,0.387,0.287,0.0122,52
1925,0.319,0.39,0.291,0.0115,51
1925,0.313,0.392,0.295,0.0108,50
1925,0.307,0.395,0.298,0.011,49
1925,0.302,0.397,0.301,0.0108,48
1925,0.297,0.398,0.304,0.0106,47
1925,0.294,0.399,0.306,0.0104,46
1925,0.291,0.4,0.308,0.0103,45
1925,0.285,0.403,0.311,0.0106,44
1925,0.281,0.405,0.314,0.0108,43
1925,0.277,0.407,0.316,0.011,42
1925,0.272,0.409,0.319,0.0114,41
1925,0.269,0.411,0.32,0.0115,40
1925,0.267,0.412,0.321,0.0114,39
1925,0.265,0.412,0.322,0.0109,38
1925,0.264,0.413,0.323,0.01,37
1925,0.263,0.413,0.324,0.0092,36
1925,0.262,0.412,0.326,0.008,35
1925,0.259,0.414,0.327,0.0075,34
1925,0.256,0.416,0.327,0.0069,33
1925,0.255,0.418,0.327,0.006,32
1925,0.253,0.419,0.328,0.0051,31
1925,0.253,0.42,0.327,0.0042,30
1925,0.253,0.423,0.323,0.0039,29
1925,0.253,0.43,0.317,0.0043,28
1925,0.253,0.438,0.309,0.0053,27
1925,0.252,0.441,0.307,0.0044,26
1925,0.251,0.446,0.303,0.0049,25
1925,0.253,0.449,0.298,0.0054,24
1925,0.257,0.451,0.291,0.0066,23
1925,0.265,0.449,0.286,0.0075,22
1925,0.265,0.456,0.278,0.0086,21
1925,0.269,0.459,0.272,0.0098,20
1925,0.273,0.461,0.266,0.0091,19
1925,0.276,0.461,0.263,0.0115,18
1925,0.289,0.465,0.246,0.016,17
1925,0.303,0.465,0.231,0.0196,16
1933,0.365,0.346,0.289,0.0653,59
1933,0.356,0.349,0.295,0.059,58
1933,0.347,0.351,0.302,0.0392,57
1933,0.338,0.354,0.308,0.0125,56
1933,0.329,0.356,0.315,0.0102,55
1933,0.321,0.358,0.321,0.009,54
1933,0.313,0.359,0.327,0.0082,53
1933,0.306,0.361,0.333,0.0077,52
1933,0.3,0.362,0.338,0.0072,51
1933,0.295,0.363,0.342,0.007,50
1933,0.292,0.363,0.344,0.0068,49
1933,0.288,0.365,0.347,0.0067,48
1933,0.285,0.366,0.348,0.0062,47
1933,0.283,0.369,0.348,0.0048,46
1933,0.281,0.373,0.346,0.003,45
1933,0.28,0.376,0.344,0.0017,44
1933,0.278,0.38,0.342,0.0007,43
1933,0.276,0.384,0.34,0.0007,42
1933,0.273,0.389,0.338,0.0023,41
1933,0.27,0.394,0.336,0.0037,40
1933,0.267,0.399,0.335,0.0032,39
1933,0.264,0.403,0.333,0.0023,38
1933,0.261,0.408,0.331,0.0023,37
1933,0.258,0.413,0.329,0.0012,36
1933,0.255,0.417,0.328,0.0013,35
1933,0.252,0.423,0.324,0.0022,34
1933,0.249,0.428,0.322,0.0033,33
1933,0.247,0.434,0.32,0.0045,32
1933,0.243,0.439,0.318,0.0057,31
1933,0.24,0.444,0.316,0.0068,30
1933,0.238,0.449,0.313,0.0073,29
1933,0.238,0.451,0.311,0.0087,28
1933,0.238,0.46,0.303,0.0058,27
1933,0.241,0.45,0.309,0.0082,26
1933,0.243,0.447,0.31,0.0085,25
1933,0.247,0.443,0.31,0.0107,24
1933,0.251,0.439,0.31,0.0127,23
1933,0.256,0.429,0.315,0.0143,22
1933,0.259,0.431,0.31,0.0162,21
1933,0.265,0.428,0.307,0.016,20
1933,0.271,0.426,0.303,0.0183,19
1933,0.278,0.413,0.309,0.0208,18
1933,0.292,0.419,0.289,0.0322,17
1933,0.309,0.415,0.276,0.0392,16
